Block Name,Point ID,heat_transfer_coefficient,ids,Points_0,Points_1,Points_2,Points_Magnitude,pressure,rho,T_solid,temperature,Tw,velocity,,pipe:solid:wall_0,0,0,22,0,0.01,0,0.01,0,0,628.15,0,0,0
pipe,0,10000,1,0,0,0,0,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,1,0,23,0,0.0105,0,0.0105,0,0,628.15,0,0,0
pipe,1,10000,2,3.06E-18,0,0.05,0.05,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,2,0,24,0,0.011,0,0.011,0,0,628.15,0,0,0
pipe,2,10000,3,6.12E-18,0,0.1,0.1,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,3,0,25,3.06E-18,0.01,0.05,0.0509902,0,0,628.15,0,0,0
pipe,3,10000,4,9.18E-18,0,0.15,0.15,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,4,0,26,3.06E-18,0.0105,0.05,0.0510906,0,0,628.15,0,0,0
pipe,4,10000,5,1.22E-17,0,0.2,0.2,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,5,0,27,3.06E-18,0.011,0.05,0.0511957,0,0,628.15,0,0,0
pipe,5,10000,6,1.53E-17,0,0.25,0.25,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,6,0,28,6.12E-18,0.01,0.1,0.100499,0,0,628.15,0,0,0
pipe,6,10000,7,1.84E-17,0,0.3,0.3,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,7,0,29,6.12E-18,0.0105,0.1,0.10055,0,0,628.15,0,0,0
pipe,7,10000,8,2.14E-17,0,0.35,0.35,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,8,0,30,6.12E-18,0.011,0.1,0.100603,0,0,628.15,0,0,0
pipe,8,10000,9,2.45E-17,0,0.4,0.4,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,9,0,31,9.18E-18,0.01,0.15,0.150333,0,0,628.15,0,0,0
pipe,9,10000,10,2.76E-17,0,0.45,0.45,100000,865.51,628.15,628.15,628.15,1,,pipe:solid:wall_0,10,0,32,9.18E-18,0.0105,0.15,0.150367,0,0,628.15,0,0,0
