run,case,item_id,answerable,response_answerable,question_type,required_claim_count,recovered_claim_count,recovered_claims,CoP,exact_answer,required_evidence_count,retrieved_required_evidence_count,retrieved_required_evidence,all_required_evidence_retrieved,citation_count,supported_citation_count,CiP,CiH,generated_claim_count,unsupported_claim_count,HR,abstention_correct,failure_class,EvidenceRecallAt10,target_citation_count,noise_citation_count,retrieved_target_chunks,retrieved_noise_chunks,retrieved_noise_fraction,requested_model,resolved_model,input_tokens,output_tokens,latency_seconds,raw_log,error
1,MSRE_INPUT_K10,msre_param_01,True,True,direct,5,5,"{""melting_temperature"": true, ""density_correlation"": true, ""viscosity_correlation"": true, ""thermal_conductivity"": true, ""specific_heat"": true}",1.0,True,1,1,"[{""source"": ""msre_case.pdf"", ""page"": 1}]",True,1,1,1.0,1.0,5,0,0.0,,none,1.0,1,0,2,8,0.8,gpt-5.6-sol,gpt-5.6-sol,9657,696,7.967733600002248,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260814T190240Z_msre_input_k10\raw\run_01\MSRE_INPUT_K10\msre_param_01.json,
1,MSRE_INPUT_K10,msre_param_02,True,True,direct,1,0,"{""density_correlation"": false}",0.0,False,1,1,"[{""source"": ""msre_case.pdf"", ""page"": 1}]",True,1,1,1.0,1.0,2,0,0.0,,generation,1.0,1,0,3,7,0.7,gpt-5.6-sol,gpt-5.6-sol,8890,304,4.545031100002234,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260814T190240Z_msre_input_k10\raw\run_01\MSRE_INPUT_K10\msre_param_02.json,
1,MSRE_INPUT_K10,msre_param_03,True,True,direct,2,2,"{""thermal_conductivity"": true, ""specific_heat"": true}",1.0,True,1,1,"[{""source"": ""msre_case.pdf"", ""page"": 1}]",True,1,1,1.0,1.0,2,0,0.0,,none,1.0,1,0,2,8,0.8,gpt-5.6-sol,gpt-5.6-sol,9544,281,4.2170054000016535,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260814T190240Z_msre_input_k10\raw\run_01\MSRE_INPUT_K10\msre_param_03.json,
1,MSRE_INPUT_K10,msre_param_04,True,True,direct,5,5,"{""melting_temperature"": true, ""density_correlation"": true, ""viscosity_correlation"": true, ""thermal_conductivity"": true, ""specific_heat"": true}",1.0,True,1,1,"[{""source"": ""msre_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,5,0,0.0,,none,1.0,1,0,2,8,0.8,gpt-5.6-sol,gpt-5.6-sol,9816,673,7.864392499992391,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260814T190240Z_msre_input_k10\raw\run_01\MSRE_INPUT_K10\msre_param_04.json,
1,MSRE_INPUT_K10,msre_param_05,True,True,direct,1,0,"{""viscosity_correlation"": false}",0.0,False,1,1,"[{""source"": ""msre_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,1,0,0.0,,generation,1.0,1,0,3,7,0.7,gpt-5.6-sol,gpt-5.6-sol,8276,258,5.469061900002998,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260814T190240Z_msre_input_k10\raw\run_01\MSRE_INPUT_K10\msre_param_05.json,
1,MSRE_INPUT_K10,msre_param_06,True,True,direct,2,2,"{""thermal_conductivity"": true, ""specific_heat"": true}",1.0,True,1,1,"[{""source"": ""msre_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,2,0,0.0,,none,1.0,1,0,2,8,0.8,gpt-5.6-sol,gpt-5.6-sol,9923,275,4.153763800000888,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260814T190240Z_msre_input_k10\raw\run_01\MSRE_INPUT_K10\msre_param_06.json,
1,MSRE_INPUT_K10,msre_param_07,True,True,direct,1,0,"{""solid_material"": false}",0.0,False,1,1,"[{""source"": ""msre_case.pdf"", ""page"": 1}]",True,1,1,1.0,1.0,1,0,0.0,,generation,1.0,1,0,1,9,0.9,gpt-5.6-sol,gpt-5.6-sol,9724,153,2.813783199992031,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260814T190240Z_msre_input_k10\raw\run_01\MSRE_INPUT_K10\msre_param_07.json,
1,MSRE_INPUT_K10,msre_param_08,True,True,direct,1,1,"{""hastelloy_density"": true}",1.0,True,1,1,"[{""source"": ""msre_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,1,0,0.0,,none,1.0,1,0,2,8,0.8,gpt-5.6-sol,gpt-5.6-sol,8894,167,2.4575598999945214,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260814T190240Z_msre_input_k10\raw\run_01\MSRE_INPUT_K10\msre_param_08.json,
1,MSRE_INPUT_K10,msre_param_09,True,True,direct,3,3,"{""enthalpy_at_750"": true, ""enthalpy_at_1200"": true, ""interpolation"": true}",1.0,True,1,1,"[{""source"": ""msre_case.pdf"", ""page"": 2}]",True,1,1,1.0,1.0,3,0,0.0,,none,1.0,1,0,3,7,0.7,gpt-5.6-sol,gpt-5.6-sol,8817,418,4.692579800001113,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260814T190240Z_msre_input_k10\raw\run_01\MSRE_INPUT_K10\msre_param_09.json,
1,MSRE_INPUT_K10,msre_param_10,True,True,direct,1,1,"{""secondary_inlet_velocity"": true}",1.0,True,1,1,"[{""source"": ""msre_case.pdf"", ""page"": 5}]",True,1,1,1.0,1.0,1,0,0.0,,none,1.0,1,0,4,6,0.6,gpt-5.6-sol,gpt-5.6-sol,6619,175,3.652406199995312,<AUTOSAM_ROOT>\evaluation_runs_gpt56sol_noise\20260814T190240Z_msre_input_k10\raw\run_01\MSRE_INPUT_K10\msre_param_10.json,
